job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
1,Marketing Manager,"US, NY, New York",IT,100000-120000,We are a leading tech firm establishing global remote teams.,Looking for experienced Python developer with FastAPI and SQL skills.,Must have laptop and active internet. No qualifications needed.,"Health insurance, 401k, paid leaves.",1,1,0,Full-time,,Bachelor's Degree,,Sales,0
2,Marketing Manager,"US, CA, Los Angeles",Admin,,We are a leading tech firm establishing global remote teams.,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Strong communication skills and team management experience.,,0,0,1,Part-time,Mid-Senior level,Bachelor's Degree,Marketing,Engineering,0
3,Work From Home Specialist,"US, NY, New York",,50000-70000,Established multi-national logistics company.,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Must have laptop and active internet. No qualifications needed.,Weekly cash bonuses.,0,0,0,Part-time,,,,Engineering,0
4,Data Entry Clerk,"IN, DEL, Delhi",Customer Care,50000-70000,Earn $500 daily working 2 hours from home. No experience needed!,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Must have laptop and active internet. No qualifications needed.,,1,0,1,Contract,Mid-Senior level,Bachelor's Degree,Information Technology,,0
5,Data Entry Clerk,"US, CA, Los Angeles",IT,100000-120000,Earn $500 daily working 2 hours from home. No experience needed!,Manage customer queries via ticket portal and phone support.,Strong communication skills and team management experience.,,1,1,1,Part-time,Mid-Senior level,High School or equivalent,Information Technology,Administrative,0
6,Work From Home Specialist,"US, CA, Los Angeles",,100000-120000,Immediate opening! Send bank details for equipment processing.,Manage customer queries via ticket portal and phone support.,"Bachelor degree in CS, 2+ years Python experience required.",Weekly cash bonuses.,1,1,0,Contract,Mid-Senior level,High School or equivalent,Information Technology,,0
7,Software Engineer,"US, CA, Los Angeles",IT,100000-120000,Earn $500 daily working 2 hours from home. No experience needed!,Looking for experienced Python developer with FastAPI and SQL skills.,Strong communication skills and team management experience.,"Health insurance, 401k, paid leaves.",1,1,1,Full-time,Associate,,Financial Services,Engineering,0
8,Customer Service Rep,"PK, LHR, Lahore",Admin,100000-120000,Earn $500 daily working 2 hours from home. No experience needed!,Simple copy paste job. High commission guaranteed.,"Bachelor degree in CS, 2+ years Python experience required.",Weekly cash bonuses.,0,0,0,Full-time,,Bachelor's Degree,Marketing,Sales,0
9,Customer Service Rep,"IN, DEL, Delhi",,100000-120000,We are a leading tech firm establishing global remote teams.,Simple copy paste job. High commission guaranteed.,"Bachelor degree in CS, 2+ years Python experience required.","Health insurance, 401k, paid leaves.",1,0,0,Contract,Mid-Senior level,Bachelor's Degree,Marketing,Administrative,0
10,Work From Home Specialist,"IN, DEL, Delhi",Sales,,We are a leading tech firm establishing global remote teams.,Looking for experienced Python developer with FastAPI and SQL skills.,Must have laptop and active internet. No qualifications needed.,Weekly cash bonuses.,0,1,0,Contract,Entry level,Bachelor's Degree,Marketing,Sales,0
11,Work From Home Specialist,"IN, DEL, Delhi",,,We are a leading tech firm establishing global remote teams.,Manage customer queries via ticket portal and phone support.,"Bachelor degree in CS, 2+ years Python experience required.",,1,1,0,Part-time,Associate,,Marketing,,0
12,Customer Service Rep,"US, CA, Los Angeles",Customer Care,1000-2000,Earn $500 daily working 2 hours from home. No experience needed!,Looking for experienced Python developer with FastAPI and SQL skills.,"Bachelor degree in CS, 2+ years Python experience required.",Weekly cash bonuses.,1,0,1,Part-time,,High School or equivalent,Marketing,Administrative,0
13,Customer Service Rep,"US, CA, Los Angeles",IT,1000-2000,Established multi-national logistics company.,Simple copy paste job. High commission guaranteed.,Must have laptop and active internet. No qualifications needed.,Weekly cash bonuses.,1,0,0,Contract,Associate,,Information Technology,Sales,0
14,Customer Service Rep,"US, NY, New York",Admin,1000-2000,Established multi-national logistics company.,Simple copy paste job. High commission guaranteed.,"Bachelor degree in CS, 2+ years Python experience required.",Weekly cash bonuses.,0,1,0,Contract,,High School or equivalent,,Sales,0
15,Customer Service Rep,"US, NY, New York",Admin,100000-120000,Earn $500 daily working 2 hours from home. No experience needed!,Manage customer queries via ticket portal and phone support.,Must have laptop and active internet. No qualifications needed.,"Health insurance, 401k, paid leaves.",1,1,0,Contract,Mid-Senior level,,Financial Services,,0
16,Marketing Manager,"PK, LHR, Lahore",,,We are a leading tech firm establishing global remote teams.,Urgent requirement! High payout daily. Contact personal gmail address immediately.,"Bachelor degree in CS, 2+ years Python experience required.","Health insurance, 401k, paid leaves.",1,0,0,Part-time,,Bachelor's Degree,Financial Services,Engineering,0
17,Work From Home Specialist,"IN, DEL, Delhi",Admin,,Earn $500 daily working 2 hours from home. No experience needed!,Simple copy paste job. High commission guaranteed.,Must have laptop and active internet. No qualifications needed.,,1,1,1,,Entry level,,Information Technology,Sales,1
18,Work From Home Specialist,"IN, DEL, Delhi",IT,1000-2000,Earn $500 daily working 2 hours from home. No experience needed!,Simple copy paste job. High commission guaranteed.,Strong communication skills and team management experience.,Weekly cash bonuses.,1,1,0,Part-time,Mid-Senior level,High School or equivalent,Marketing,Administrative,0
19,Marketing Manager,"US, NY, New York",Customer Care,100000-120000,We are a leading tech firm establishing global remote teams.,Looking for experienced Python developer with FastAPI and SQL skills.,Must have laptop and active internet. No qualifications needed.,,0,0,0,,Entry level,Bachelor's Degree,Marketing,Engineering,0
